division,area_sqkm
Bradfield,118.73
Warringah,63.75
North Sydney,46.67
Bennelong,64.58
Wentworth,31.27
Sydney,41.38
Kingsford-Smith,67.32
Grayndler,34.74
Barton,43.48
Lowe,54.19
Watson,39.45
Banks,61.7
Blaxland,61.2
Reid,77.24
Parramatta,64.55
Prospect,137.43
Fowler,63.73
Chifley,147.35
Greenway,151.14
Mitchell,603.12
Berowra,493.78
Mackellar,235.69
Cook,77.65
Hughes,597.94
Werriwa,182.21
Cunningham,433.5
Throsby,428.49
Macarthur,5562.78
Robertson,847.84
Dobell,1070.43
Lindsay,415.78
Macquarie,5001.43
Shortland,226.36
Newcastle,117.83
Charlton,651.29
Paterson,11212.46
Lyne,6298.77
Cowper,12665.98
Richmond,2902.46
Page,25226.11
New England,42042.7
Hunter,24766.47
Calare,29430.44
Gwydir,132276.56
Gilmore,7653.81
Eden-Monaro,36742.74
Hume,49906.96
Farrer,111597.7
Riverina,66156.44
Parkes,372121.01
Makin,139.3
Bonython,412.08
Adelaide,80.8
Port Adelaide,191.4
Sturt,78.19
Hindmarsh,76.67
Boothby,136.71
Kingston,444.56
Mayo,2282.61
Barker,67077.85
Wakefield,39200.1
Grey,1032747.14
Denison,304.94
Braddon,14806.02
Bass,9652.89
Lyons,55836.71
Franklin,10918.13
Dunkley,156.69
Isaacs,227.77
Holt,135.23
Bruce,81.42
Aston,128.1
Hotham,91.15
Chisholm,75.25
Deakin,74.75
Menzies,148.06
Kooyong,62.16
Jagajaga,106.01
Batman,68.63
Wills,65.46
Maribyrnong,81.38
Calwell,293.95
Scullin,133.51
Goldstein,62.27
Higgins,48.96
Melbourne Ports,55.58
Melbourne,68.66
Gellibrand,95.63
Lalor,832.67
Corio,1026.49
Casey,516.07
La Trobe,704.51
Flinders,2659.66
McMillan,7299.95
McEwen,18039.55
Gippsland,44951.9
Indi,29863.8
Murray,19738.79
Bendigo,12411.8
Burke,3935.45
Corangamite,9695.39
Ballarat,11128.95
Wannon,37663.48
Mallee,82167.7
Canberra,2334.66
Fraser,643.62
Northern Territory,1440410.6
Curtin,110.22
Stirling,89.68
Perth,124.33
Swan,167.05
Tangney,110.94
Cowan,194.21
Moore,775.32
Fremantle,244.28
Brand,526.63
Canning,3582.38
Pearce,16781.27
Forrest,32235.93
O'Connor,219662.85
Kalgoorlie,2546052.13
Lilley,157.61
Petrie,168.54
Dickson,846.02
Brisbane,81.85
Moreton,121.73
Ryan,270.43
Griffith,139.67
Bowman,697.16
Fadden,669.58
Moncrieff,210.69
McPherson,433.33
Oxley,770.22
Fairfax,4781.98
Leichhardt,155424.65
Herbert,3206.2
Dawson,23794.19
Maranoa,727009.61
Rankin,171.39
Fisher,588.25
Longman,2237.72
Groom,7257.68
Blair,16930.56
Forde,5507.46
Wide Bay,60135.72
Hinkler,16808.88
Capricornia,257377.51
Kennedy,600982.24
