state,polling_place,premises,address,suburb,postcode,wheelchair_access
ACT,Bonython,Bonython Primary School,Hurtle Ave,BONYTHON,2905.0,F
ACT,Calwell,Calwell High School,Casey Cres,CALWELL,2905.0,F
ACT,Canberra Hospital,The Canberra Hospital,Blding 2 Level 3 Yamba Dr,GARRAN,2605.0,F
ACT,Chapman,Chapman Primary School,Perry Dr,CHAPMAN,2611.0,F
ACT,Chifley,Melrose Primary School,Maclaurin Cres,CHIFLEY,2606.0,A
ACT,Chisholm,Chisholm Primary School,Hambidge Cres,CHISHOLM,2905.0,A
ACT,Conder,Charles Conder Primary School,Tom Roberts Ave,CONDER,2906.0,F
ACT,Curtin,Curtin Primary School,Theodore St,CURTIN,2605.0,A
ACT,Deakin,CCEGGS Senior School,Melbourne Ave,DEAKIN,2600.0,N
ACT,Duffy,Duffy Primary School,Burrinjuck Cres,DUFFY,2611.0,F
ACT,Fadden,Fadden Primary School,Hanlon Cres,FADDEN,2904.0,F
ACT,Farrer,Farrer Primary School,Lambrigg St,FARRER,2607.0,A
ACT,Gilmore,Gilmore Primary School,Heagney Cres,GILMORE,2905.0,F
ACT,Gordon,Gordon Primary School,Knoke St,GORDON,2906.0,F
ACT,Gowrie,Gowrie Primary School,Jeffries St,GOWRIE,2904.0,F
ACT,Holder,St. Judes Primary School,Mulley St,HOLDER,2611.0,A
ACT,Hughes,Hughes Primary School,Kent St,HUGHES,2605.0,F
ACT,Isabella Plains,Isabella Plains Primary School,Ellerston Ave,ISABELLA PLAINS,2905.0,F
ACT,Kambah East,Village Creek Primary School,Kingsmill St,KAMBAH,2902.0,F
ACT,Kambah North,Taylor Primary School,Marconi Cres,KAMBAH,2902.0,F
ACT,Kambah South,Urambi Primary School,O'Halloran Crct,KAMBAH,2902.0,F
ACT,Kambah West,Mount Neighbour Primary School,Boddington Cres,KAMBAH,2902.0,F
ACT,Lyons,Lyons Primary School,Tarraleah Cres,LYONS,2606.0,F
ACT,Mawson,Mawson Primary School,Ainsworth St,MAWSON,2607.0,A
ACT,Monash,Monash Primary School,Corlette Cres,MONASH,2904.0,A
ACT,Oaks Estate,Oaks Estate Community Hall,William St,OAKS ESTATE,2620.0,F
ACT,Pearce,Melrose High School,Marr St,PEARCE,2607.0,A
ACT,Red Hill,Red Hill Primary School,Astrolabe St,RED HILL,2603.0,A
ACT,Richardson,Richardson Primary School,May Gibbs Cl,RICHARDSON,2905.0,F
ACT,Rivett,Rivett Primary School,Bangalay Cres,RIVETT,2611.0,F
ACT,Theodore,Theodore Primary School,Lawrence Wackett Cres,THEODORE,2905.0,F
ACT,Wanniassa,Wanniassa Primary School,Sternberg Cres,WANNIASSA,2903.0,A
ACT,Wanniassa Hills,Wanniassa Hills Primary School,Langdon Ave,WANNIASSA,2903.0,A
ACT,Waramanga,Arawang Primary School,Nemarang Cres,WARAMANGA,2611.0,F
ACT,Weston,Weston Primary School,Hilder St,WESTON,2611.0,F
ACT,Yarralumla,Yarralumla Primary School,Loftus St,YARRALUMLA,2600.0,F
ACT,Ainslie,Ainslie Primary School,Elder St,BRADDON,2601.0,N
ACT,Ainslie North,North Ainslie Primary School,Sherbrooke St,AINSLIE,2602.0,A
ACT,Aranda,Aranda Primary School,Banambila St,ARANDA,2614.0,N
ACT,Baker Gardens,Ainslie Pre School,Baker Gardens,AINSLIE,2602.0,N
ACT,Barton,Telopea Park School,New South Wales Cres,BARTON,2600.0,F
ACT,Belconnen,Lake Ginninderra College,Emu Bank,BELCONNEN,2617.0,N
ACT,Bruce,Calvary Hospital,Haydon Dr,BRUCE,2617.0,F
ACT,Campbell,Campbell Primary School,Chauvel St,CAMPBELL,2601.0,N
ACT,Charnwood,St Thomas Aquinas Primary School,Lhotsky St,CHARNWOOD,2615.0,F
ACT,City,Pilgrim House,69 Northbourne Ave,CANBERRA CITY,2601.0,F
ACT,Dickson,Daramalan College,Cowper St,DICKSON,2602.0,A
ACT,Downer,Downer Community Centre,Frencham Pl,DOWNER,2602.0,A
ACT,Evatt,Evatt Primary School,Heydon Cres,EVATT,2617.0,F
ACT,Evatt South,Miles Franklin Primary School,Alderman St,EVATT,2617.0,F
ACT,Florey,St Francis Xavier High School,Barnard Crct,FLOREY,2615.0,A
ACT,Flynn,Flynn Primary School,Bingle St,FLYNN,2615.0,N
ACT,Giralang,Giralang Primary School,Canopus Cres,GIRALANG,2617.0,F
ACT,Griffith,O'Connell Centre,Stuart St,GRIFFITH,2603.0,F
ACT,Hall,Hall Primary School,Hoskins St,HALL,2618.0,N
ACT,Higgins,Higgins Primary School,Fullagar Cres,HIGGINS,2615.0,F
ACT,Holt,Holt Primary School,Beaurepaire Cres,HOLT,2615.0,N
ACT,Jervis Bay,Jervis Bay Primary School,Dykes Ave,JERVIS BAY,2540.0,N
ACT,Kaleen,Kaleen Primary School,Ashburton St,KALEEN,2617.0,F
ACT,Kaleen South,Maribyrnong Primary School,Alberga St,KALEEN,2617.0,F
ACT,Latham,Latham Primary School,O'Loghlen St,LATHAM,2615.0,N
ACT,Lyneham,Lyneham Primary School,Hall St,LYNEHAM,2602.0,N
ACT,Macgregor,Macgregor Primary School,Hirschfeld Cres,MACGREGOR,2615.0,N
ACT,Macquarie,Macquarie Primary School,Bennelong Cres,MACQUARIE,2614.0,N
ACT,Melba,Mt Rogers Community School,Alfred Hill Dr,MELBA,2615.0,F
ACT,Narrabundah,Narrabundah Primary School,Kootara Cres,NARRABUNDAH,2604.0,N
ACT,Ngunnawal,Ngunnawal Primary School,Unaipon Ave,NGUNNAWAL,2913.0,F
ACT,Nicholls,Nicholls Primary School,Kelleway Ave,NICHOLLS,2913.0,N
ACT,Page,St Matthew's School,Stutchbury St,PAGE,2614.0,F
ACT,Palmerston,Palmerston Primary School,Kosciusko Ave,PALMERSTON,2913.0,F
ACT,Reid,Uniting Church Hall,54 Coranderrk St,REID,2612.0,N
ACT,Scullin,Southern Cross Primary School,Ross Smith Cres,SCULLIN,2614.0,N
ACT,Spence,Former Spence Primary School,Crofts Cres,SPENCE,2615.0,N
ACT,Turner,Turner Primary School,Condamine St,TURNER,2601.0,F
ACT,Watson,Majura Primary School,Irvine St,WATSON,2602.0,F
ACT,Weetangera,Weetangera Primary School,Southwell St,WEETANGERA,2614.0,N
