state,polling_place,premises,address,suburb,postcode,wheelchair_access,match_source,match_type,latitude,longitude
ACT,Bonython,Bonython Primary School,Hurtle Ave,BONYTHON,2905.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4318,149.083
ACT,Calwell,Calwell High School,Casey Cres,CALWELL,2905.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4406,149.116
ACT,Canberra Hospital,The Canberra Hospital,Blding 2 Level 3 Yamba Dr,GARRAN,2605.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3453,149.1
ACT,Chapman,Chapman Primary School,Perry Dr,CHAPMAN,2611.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3569,149.043
ACT,Chifley,Melrose Primary School,Maclaurin Cres,CHIFLEY,2606.0,A,google geocode,GEOMETRIC_CENTER,-35.350298,149.0810432
ACT,Chisholm,Chisholm Primary School,Hambidge Cres,CHISHOLM,2905.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4191,149.123
ACT,Conder,Charles Conder Primary School,Tom Roberts Ave,CONDER,2906.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4649,149.09799999999998
ACT,Curtin,Curtin Primary School,Theodore St,CURTIN,2605.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3317,149.08
ACT,Deakin,CCEGGS Senior School,Melbourne Ave,DEAKIN,2600.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.3122,149.111
ACT,Duffy,Duffy Primary School,Burrinjuck Cres,DUFFY,2611.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3342,149.034
ACT,Fadden,Fadden Primary School,Hanlon Cres,FADDEN,2904.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4043,149.118
ACT,Farrer,Farrer Primary School,Lambrigg St,FARRER,2607.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3787,149.107
ACT,Gilmore,Gilmore Primary School,Heagney Cres,GILMORE,2905.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4195,149.136
ACT,Gordon,Gordon Primary School,Knoke St,GORDON,2906.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4555,149.08700000000002
ACT,Gowrie,Gowrie Primary School,Jeffries St,GOWRIE,2904.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4136,149.111
ACT,Holder,St. Judes Primary School,Mulley St,HOLDER,2611.0,A,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.3338,149.05
ACT,Hughes,Hughes Primary School,Kent St,HUGHES,2605.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3322,149.092
ACT,Isabella Plains,Isabella Plains Primary School,Ellerston Ave,ISABELLA PLAINS,2905.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4287,149.089
ACT,Kambah East,Village Creek Primary School,Kingsmill St,KAMBAH,2902.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3851,149.072
ACT,Kambah North,Taylor Primary School,Marconi Cres,KAMBAH,2902.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3783,149.064
ACT,Kambah South,Urambi Primary School,O'Halloran Crct,KAMBAH,2902.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3945,149.063
