state,polling_place,premises,address,suburb,postcode,wheelchair_access,match_source,match_type,latitude,longitude,geometry,pp_2016_index
ACT,Bonython,Bonython Primary School,Hurtle Ave,BONYTHON,2905.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4318,149.083,POINT (149.083 -35.4318),3
ACT,Calwell,Calwell High School,Casey Cres,CALWELL,2905.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4406,149.116,POINT (149.116 -35.4406),5
ACT,Canberra Hospital,The Canberra Hospital,Blding 2 Level 3 Yamba Dr,GARRAN,2605.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3453,149.1,POINT (149.1 -35.3453),19
ACT,Chapman,Chapman Primary School,Perry Dr,CHAPMAN,2611.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3569,149.043,POINT (149.043 -35.3569),7
ACT,Chifley,Melrose Primary School,Maclaurin Cres,CHIFLEY,2606.0,A,google geocode,GEOMETRIC_CENTER,-35.350297999999995,149.08104319999998,POINT (149.0810432 -35.350298),31
ACT,Chisholm,Chisholm Primary School,Hambidge Cres,CHISHOLM,2905.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4191,149.123,POINT (149.123 -35.4191),8
ACT,Conder,Charles Conder Primary School,Tom Roberts Ave,CONDER,2906.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4649,149.09799999999996,POINT (149.098 -35.4649),11
ACT,Curtin,Curtin Primary School,Theodore St,CURTIN,2605.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3317,149.08,POINT (149.08 -35.3317),13
ACT,Deakin,CCEGGS Senior School,Melbourne Ave,DEAKIN,2600.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-35.3122,149.111,POINT (149.111 -35.3122),14
ACT,Duffy,Duffy Primary School,Burrinjuck Cres,DUFFY,2611.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.3342,149.034,POINT (149.034 -35.3342),16
ACT,Fadden,Fadden Primary School,Hanlon Cres,FADDEN,2904.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.4043,149.118,POINT (149.118 -35.4043),17
