state,electorate,polling_place,polling_place_raw,yes_or_no,yes_n,yes_p,no_n,no_p,formal_n,formal_p,informal_n,informal_p,total_n,total_p
SA,Adelaide,Adelaide East,Adelaide East,Yes,465,0.67,229,0.33,694,0.9914000000000001,6,0.0086,700,0.0086
SA,Adelaide,Adelaide Hospital,Adelaide Hospital,Yes,187,0.6172,116,0.38280000000000003,303,0.9806,6,0.0194,309,0.0038
SA,Adelaide,Adelaide South,Adelaide South,Yes,1056,0.6467,577,0.3533,1633,0.9903,16,0.0097,1649,0.0202
SA,Adelaide,Adelaide West,Adelaide West,Yes,205,0.6487,111,0.3513,316,0.9875,4,0.0125,320,0.0039000000000000003
SA,Adelaide,Black Forest East,Black Forest East,Yes,1206,0.6009,801,0.39909999999999995,2007,0.9858,29,0.014199999999999999,2036,0.025
SA,Adelaide,Blair Athol North,Blair Athol North,No,628,0.4102,903,0.5898,1531,0.9922,12,0.0078000000000000005,1543,0.0189
SA,Adelaide,Broadview,Broadview,No,971,0.4793,1055,0.5207,2026,0.9945999999999999,11,0.0054,2037,0.025
SA,Adelaide,Brompton,Brompton,Yes,581,0.6109,370,0.38909999999999995,951,0.9895999999999999,10,0.0104,961,0.0118
SA,Adelaide,Clarence Park,Clarence Park,Yes,661,0.5669,505,0.43310000000000004,1166,0.9932,8,0.0068000000000000005,1174,0.0144
SA,Adelaide,College Park,College Park,Yes,765,0.6722,373,0.32780000000000004,1138,0.9939,7,0.0060999999999999995,1145,0.013999999999999999
SA,Adelaide,Croydon,Croydon (Adelaide),Yes,256,0.5482,211,0.4518,467,0.9894,5,0.0106,472,0.0058
SA,Adelaide,Croydon Park,Croydon Park,No,819,0.48810000000000003,859,0.5119,1678,0.9887999999999999,19,0.011200000000000002,1697,0.0208
SA,Adelaide,Croydon Park West,Croydon Park West (Adelaide),No,234,0.48350000000000004,250,0.5165,484,0.9918,4,0.008199999999999999,488,0.006
SA,Adelaide,Enfield,Enfield,No,554,0.4128,788,0.5871999999999999,1342,0.9832,23,0.0168,1365,0.0167
SA,Adelaide,Enfield North,Enfield North (Adelaide),No,548,0.4374,705,0.5626,1253,0.9890000000000001,14,0.011000000000000001,1267,0.0155
SA,Adelaide,Enfield South,Enfield South,No,470,0.46630000000000005,538,0.5337,1008,0.9882,12,0.0118,1020,0.0125
SA,Adelaide,Everard Park,Everard Park,Yes,396,0.5366,342,0.46340000000000003,738,0.9906,7,0.009399999999999999,745,0.0091
SA,Adelaide,Fullarton,Fullarton,Yes,1365,0.6003000000000001,909,0.3997,2274,0.993,16,0.006999999999999999,2290,0.0281
SA,Adelaide,Goodwood,Goodwood,Yes,1334,0.6707,655,0.3293,1989,0.9904999999999999,19,0.0095,2008,0.0246
SA,Adelaide,Goodwood Park,Goodwood Park,Yes,393,0.6847,181,0.3153,574,0.9863,8,0.0137,582,0.0070999999999999995
SA,Adelaide,Greenacres,Greenacres,No,609,0.43189999999999995,801,0.5681,1410,0.9909,13,0.0091,1423,0.0174
SA,Adelaide,Hampstead Gardens,Hampstead Gardens,No,422,0.4499,516,0.5501,938,0.9936,6,0.0064,944,0.0116
SA,Adelaide,Hindmarsh,Hindmarsh,Yes,81,0.6,54,0.4,135,0.9783,3,0.0217,138,0.0017000000000000001
SA,Adelaide,Hyde Park,Hyde Park,Yes,1038,0.6392,586,0.3608,1624,0.9945,9,0.0055000000000000005,1633,0.02
SA,Adelaide,Kent Town,Kent Town,Yes,249,0.6133,157,0.38670000000000004,406,0.9878,5,0.012199999999999999,411,0.005
SA,Adelaide,Keswick,Keswick,Yes,366,0.5367000000000001,316,0.4633,682,0.9942,4,0.0058,686,0.0084
SA,Adelaide,Kilburn,Kilburn,No,564,0.4335,737,0.5665,1301,0.9834,22,0.0166,1323,0.016200000000000003
SA,Adelaide,Kilburn South,Kilburn South,No,445,0.4415,563,0.5585,1008,0.9815,19,0.018500000000000003,1027,0.0126
SA,Adelaide,Lower North Adelaide,Lower North Adelaide,Yes,660,0.6659999999999999,331,0.33399999999999996,991,0.993,7,0.006999999999999999,998,0.012199999999999999
SA,Adelaide,Malvern,Malvern,Yes,940,0.6108,599,0.3892,1539,0.9994,1,0.0006,1540,0.0189
