state,polling_place,yes_n,no_n,formal_n,informal_n,total_n,yes_p,no_p,formal_p,informal_p
ACT,Ainslie North,1608,749,2357,29,2386,0.6822,0.3178,0.9878,0.0122
ACT,Aranda,2200,787,2987,21,3008,0.7365,0.2635,0.993,0.007
ACT,Baker Gardens,398,230,628,5,633,0.6338,0.3662,0.9921,0.0079
ACT,Barton,1027,376,1403,12,1415,0.732,0.268,0.9915,0.0085
ACT,Belconnen,1538,718,2256,20,2276,0.6817,0.3183,0.9912,0.0088
ACT,Bruce,267,112,379,5,384,0.7045,0.2955,0.987,0.013
ACT,Calwell,1810,1098,2908,21,2929,0.6224,0.3776,0.9928,0.0072
ACT,Campbell,1605,977,2582,11,2593,0.6216,0.3784,0.9958,0.0042
ACT,Canberra Hospital,587,298,885,9,894,0.6633,0.3367,0.9899,0.0101
ACT,Chapman,1629,720,2349,22,2371,0.6935,0.3065,0.9907,0.0093
ACT,Charnwood,2222,1655,3877,43,3920,0.5731,0.4269,0.989,0.011
ACT,Chifley,955,540,1495,17,1512,0.6388,0.3612,0.9888,0.0112
ACT,Chisholm,1172,821,1993,18,2011,0.5881,0.4119,0.991,0.009
ACT,City,784,253,1037,12,1049,0.756,0.244,0.9886,0.0114
ACT,Conder,1541,1145,2686,23,2709,0.5737,0.4263,0.9915,0.0085
ACT,Curtin,2089,910,2999,31,3030,0.6966,0.3034,0.9898,0.0102
ACT,Deakin,985,504,1489,10,1499,0.6615,0.3385,0.9933,0.0067
ACT,Dickson,1184,503,1687,19,1706,0.7018,0.2982,0.9889,0.0111
ACT,Downer,856,564,1420,10,1430,0.6028,0.3972,0.993,0.007
ACT,Duffy,1346,691,2037,14,2051,0.6608,0.3392,0.9932,0.0068
ACT,Evatt,1868,1163,3031,30,3061,0.6163,0.3837,0.9902,0.0098
ACT,Evatt South,948,453,1401,10,1411,0.6767,0.3233,0.9929,0.0071
ACT,Fadden,1485,763,2248,12,2260,0.6606,0.3394,0.9947,0.0053
ACT,Farrer,1641,1190,2831,25,2856,0.5797,0.4203,0.9912,0.0088
ACT,Florey,1395,781,2176,20,2196,0.6411,0.3589,0.9909,0.0091
ACT,Flynn,1280,683,1963,10,1973,0.6521,0.3479,0.9949,0.0051
ACT,Gilmore,1292,972,2264,19,2283,0.5707,0.4293,0.9917,0.0083
ACT,Giralang,1347,791,2138,25,2163,0.63,0.37,0.9884,0.0116
ACT,Gordon,2281,1611,3892,33,3925,0.5861,0.4139,0.9916,0.0084
ACT,Gowrie,1208,755,1963,17,1980,0.6154,0.3846,0.9914,0.0086
ACT,Griffith,1181,514,1695,14,1709,0.6968,0.3032,0.9918,0.0082
ACT,Hall,257,171,428,2,430,0.6005,0.3995,0.9953,0.0047
ACT,Higgins,1321,998,2319,26,2345,0.5696,0.4304,0.9889,0.0111
ACT,Holder,1058,594,1652,17,1669,0.6404,0.3596,0.9898,0.0102
ACT,Holt,1320,1019,2339,19,2358,0.5643,0.4357,0.9919,0.0081
ACT,Hughes,1947,871,2818,19,2837,0.6909,0.3091,0.9933,0.0067
ACT,Isabella Plains,1390,1156,2546,24,2570,0.546,0.454,0.9907,0.0093
ACT,Jervis Bay,55,54,109,0,109,0.5046,0.4954,1.0,0.0
ACT,Kaleen,1738,1096,2834,42,2876,0.6133,0.3867,0.9854,0.0146
ACT,Kaleen South,1074,616,1690,16,1706,0.6355,0.3645,0.9906,0.0094
ACT,Kambah East,1175,731,1906,12,1918,0.6165,0.3835,0.9937,0.0063
ACT,Kambah North,1017,647,1664,15,1679,0.6112,0.3888,0.9911,0.0089
ACT,Kambah South,932,685,1617,14,1631,0.5764,0.4236,0.9914,0.0086
ACT,Kambah West,2261,1299,3560,22,3582,0.6351,0.3649,0.9939,0.0061
ACT,Latham,1151,860,2011,19,2030,0.5724,0.4276,0.9906,0.0094
ACT,Lyneham,2672,1045,3717,38,3755,0.7189,0.2811,0.9899,0.0101
ACT,Lyons,983,529,1512,13,1525,0.6501,0.3499,0.9915,0.0085
ACT,Macgregor,992,723,1715,5,1720,0.5784,0.4216,0.9971,0.0029
ACT,Macquarie,1230,574,1804,11,1815,0.6818,0.3182,0.9939,0.0061
ACT,Mawson,1961,1017,2978,22,3000,0.6585,0.3415,0.9927,0.0073
ACT,Melba,1124,581,1705,12,1717,0.6592,0.3408,0.993,0.007
ACT,Monash,1866,1130,2996,28,3024,0.6228,0.3772,0.9907,0.0093
ACT,Narrabundah,1224,782,2006,21,2027,0.6102,0.3898,0.9896,0.0104
ACT,Ngunnawal,2004,1130,3134,31,3165,0.6394,0.3606,0.9902,0.0098
