,state,polling_place,latitude,longitude
0,ACT,Barton,-35.3151,149.135
3,ACT,Bonython,-35.4318,149.083
4,ACT,Braddon,-35.27363,149.14001000000002
5,ACT,Calwell,-35.440670000000004,149.1176
6,ACT,Campbell,-35.2903,149.156
7,ACT,Chapman,-35.3564,149.042
8,ACT,Chisholm,-35.41874779999999,149.12253859999998
9,ACT,City,-35.2767018,149.1290814
11,ACT,Conder,-35.4649,149.09799999999998
12,ACT,Coombs,-35.3226028,149.04284840000003
13,ACT,Curtin,-35.3317,149.08
14,ACT,Deakin,-35.3125,149.111
16,ACT,Duffy,-35.3347,149.032
17,ACT,Fadden,-35.4044,149.118
18,ACT,Farrer,-35.379,149.107
19,ACT,Garran,-35.343976,149.103689
20,ACT,Gilmore,-35.4147,149.13299999999998
21,ACT,Gordon,-35.4555,149.08700000000002
22,ACT,Gowrie,-35.4136,149.111
23,ACT,Griffith,-35.3222,149.145
25,ACT,Holder,-35.3348,149.05
26,ACT,Hughes,-35.3313,149.094
27,ACT,Isabella Plains,-35.4287,149.089
28,ACT,Kambah North,-35.3784,149.065
29,ACT,Kambah South,-35.3924756,149.06753700000002
30,ACT,Kambah West,-35.3806,149.053
31,ACT,Lyons,-35.342,149.076
32,ACT,Mawson,-35.3585,149.097
33,ACT,Monash,-35.4151,149.089
34,ACT,Narrabundah,-35.3286,149.15
35,ACT,Norfolk Island,-29.034671799999998,167.95324440000002
37,ACT,Oaks Estate,-35.3424,149.231
39,ACT,Parkes,-35.3020098,149.1298449
41,ACT,Pearce,-35.3637,149.089
42,ACT,Red Hill,-35.3395,149.13299999999998
43,ACT,Richardson,-35.4287,149.114
48,ACT,Tharwa,-35.508948499999995,149.0674893
49,ACT,Theodore,-35.4477,149.124
51,ACT,Turner,-35.265,149.126
52,ACT,Wanniassa,-35.3947,149.086
53,ACT,Wanniassa Hills,-35.391999999999996,149.096
54,ACT,Waramanga,-35.355,149.06
55,ACT,Weston,-35.3412,149.054
57,ACT,Yarralumla,-35.3069,149.10299999999998
58,ACT,Ainslie North,-35.2543,149.14700000000002
59,ACT,Amaroo,-35.1653,149.129
60,ACT,Aranda,-35.256,149.08
61,ACT,Belconnen,-35.2391,149.07399999999998
64,ACT,Bonner,-35.161578600000006,149.1397655
