StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
ACT,101,Canberra,8829,Barton,991,44.4,1241,55.6,2232,2.19
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,446,39.86,673,60.14,1119,0.57
ACT,101,Canberra,65504,BLV Canberra PPVC,16,48.48,17,51.52,33,15.15
ACT,101,Canberra,11877,Bonython,691,37.27,1163,62.73,1854,-2.11
ACT,101,Canberra,8802,Braddon (Canberra),409,32.75,840,67.25,1249,5.17
ACT,101,Canberra,11452,Calwell,908,40.09,1357,59.91,2265,-2.46
ACT,101,Canberra,8806,Campbell,859,46.41,992,53.59,1851,-2.2
ACT,101,Canberra,8761,Chapman,1077,40.9,1556,59.1,2633,-1.94
ACT,101,Canberra,8763,Chisholm,665,39.61,1014,60.39,1679,-4.64
ACT,101,Canberra,8808,City (Canberra),360,34.48,684,65.52,1044,7.78
ACT,101,Canberra,58708,City CANBERRA PPVC,2995,44.24,3775,55.76,6770,4.43
ACT,101,Canberra,31298,Conder,1181,38.67,1873,61.33,3054,-2.56
ACT,101,Canberra,82523,Coombs,492,39.33,759,60.67,1251,0.46
ACT,101,Canberra,8764,Curtin,923,36.35,1616,63.65,2539,-0.33
ACT,101,Canberra,8766,Deakin,741,59.47,505,40.53,1246,0.61
ACT,101,Canberra,30092,Divisional Office (PREPOLL),92,50,92,50,184,11.52
ACT,101,Canberra,8767,Duffy,657,34.93,1224,65.07,1881,-2.66
ACT,101,Canberra,8768,Fadden,913,47.88,994,52.12,1907,0.21
ACT,101,Canberra,8769,Farrer,1082,44.78,1334,55.22,2416,-3.06
ACT,101,Canberra,8794,Garran,540,43.41,704,56.59,1244,0.45
ACT,101,Canberra,8771,Gilmore,787,42.33,1072,57.67,1859,-1.31
ACT,101,Canberra,12072,Gordon,1378,39.71,2092,60.29,3470,-3.69
ACT,101,Canberra,8772,Gowrie,707,40.84,1024,59.16,1731,-3.99
ACT,101,Canberra,8817,Griffith,647,45.89,763,54.11,1410,-0.03
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,106,44.17,134,55.83,240,-4.22
ACT,101,Canberra,8773,Holder,885,41.88,1228,58.12,2113,0.44
ACT,101,Canberra,8774,Hughes,783,40.2,1165,59.8,1948,0.76
ACT,101,Canberra,8884,Isabella Plains,744,36.87,1274,63.13,2018,-2.84
ACT,101,Canberra,8776,Kambah North,540,37.09,916,62.91,1456,-3.75
ACT,101,Canberra,8777,Kambah South,805,34.43,1533,65.57,2338,-1.41
ACT,101,Canberra,8778,Kambah West,1052,38.88,1654,61.12,2706,-2.93
ACT,101,Canberra,8779,Lyons,462,36.67,798,63.33,1260,-1.3
ACT,101,Canberra,8780,Mawson,847,38.66,1344,61.34,2191,-5.45
ACT,101,Canberra,8781,Monash,976,41.8,1359,58.2,2335,-1.54
ACT,101,Canberra,8782,Narrabundah,608,35.27,1116,64.73,1724,-1.38
ACT,101,Canberra,65739,Norfolk Island,121,49.39,124,50.61,245,7
ACT,101,Canberra,66153,Norfolk Island PPVC,51,61.45,32,38.55,83,28.12
ACT,101,Canberra,8783,Oaks Estate,72,41.38,102,58.62,174,2.87
ACT,101,Canberra,65158,Other Mobile Team 1,9,36,16,64,25,4.75
ACT,101,Canberra,65741,Parkes (Canberra),920,35.24,1691,64.76,2611,2.86
ACT,101,Canberra,65742,Parkes PPVC,0,0,0,0,0,0
ACT,101,Canberra,8784,Pearce,1006,40,1509,60,2515,0.13
ACT,101,Canberra,8785,Red Hill,1021,45.78,1209,54.22,2230,1.21
