,state,polling_place,latitude,longitude
0,NSW,Beverly Hills North,-33.9413,151.075
1,NSW,East Hills,-33.9612,150.982
2,NSW,Riverwood East,-33.9459,151.058
3,NSW,Lugarno,-33.985,151.045
4,NSW,Mortdale West,-33.9616,151.07299999999998
5,NSW,Narwee,-33.9482,151.069
6,NSW,Padstow,-33.9542,151.031
7,NSW,Padstow East,-33.949,151.03
8,NSW,Padstow South,-33.9664,151.031
9,NSW,Panania,-33.9551,150.999
10,NSW,Panania Central,-33.9519,150.998
11,NSW,Panania North,-33.9451,150.999
12,NSW,Panania South,-33.9661,151.0
13,NSW,Peakhurst East,-33.9553,151.061
14,NSW,Peakhurst South,-33.9728,151.056
15,NSW,Peakhurst West,-33.9617,151.049
16,NSW,Penshurst,-33.9626,151.088
17,NSW,Picnic Point North,-33.9649,151.01
18,NSW,Revesby North,-33.9447,151.017
19,NSW,Revesby South,-33.9605,151.017
20,NSW,Riverwood North,-33.9477,151.047
21,NSW,Riverwood South,-33.9525,151.053
22,NSW,Allawah,-33.9768,151.115
23,NSW,Arncliffe,-33.938,151.144
24,NSW,Blakehurst South,-33.9965,151.107
25,NSW,Arncliffe Central,-33.9406,151.14700000000002
26,NSW,Brighton-Le-Sands,-33.9627,151.148
27,NSW,Carss Park,-33.9834,151.116
28,NSW,Sandringham,-33.9991,151.139
29,NSW,Connells Point,-33.9855,151.1
30,NSW,Hurstville South,-33.9726,151.099
31,NSW,Hurstville Grove,-33.9729,151.091
32,NSW,Blakehurst North,-33.9814,151.113
33,NSW,Carlton South,-33.9727,151.128
34,NSW,Kogarah Bay,-33.9839,151.123
35,NSW,Kogarah Central,-33.9616,151.136
36,NSW,Kyeemagh,-33.9497,151.161
37,NSW,Monterey,-33.973,151.145
38,NSW,Kogarah East,-33.9687,151.137
39,NSW,Mortdale Central,-33.9729,151.077
40,NSW,Mortdale East,-33.9727,151.08100000000002
41,NSW,Oatley,-33.9847,151.08100000000002
42,NSW,Oatley West,-33.9796,151.065
43,NSW,Penshurst Central,-33.9641,151.08700000000002
44,NSW,Ramsgate Beach,-33.982,151.144
45,NSW,Rockdale,-33.9527,151.142
46,NSW,Rockdale Central,-33.9537,151.139
47,NSW,Carlton West,-33.9763,151.121
48,NSW,Allawah South,-33.9756,151.111
49,NSW,Sans Souci,-33.9951,151.13
50,NSW,Ramsgate,-33.9847,151.138
51,NSW,Marsfield North,-33.7704,151.1
52,NSW,Boronia Park,-33.8212,151.136
53,NSW,Chatswood South,-33.8056,151.179
54,NSW,Cullen,-33.8099,151.15200000000002
55,NSW,Eastview,-33.7943,151.109
56,NSW,Eastwood Heights,-33.7817,151.096
57,NSW,Epping East,-33.7684,151.08700000000002
58,NSW,Epping North,-33.7576,151.096
59,NSW,Gladesville,-33.8323,151.126
60,NSW,Gladesville North,-33.8277,151.12
61,NSW,Greenwich North,-33.8292,151.188
62,NSW,Hunters Hill,-33.8352,151.151
63,NSW,Hunters Hill West,-33.8315,151.143
64,NSW,Kent Road,-33.7864,151.109
65,NSW,Lane Cove,-33.8164,151.16899999999998
66,NSW,Lane Cove South,-33.8192,151.17
67,NSW,Lane Cove West,-33.8129,151.158
68,NSW,Longueville,-33.8278,151.17
69,NSW,Macquarie Park,-33.7798,151.115
70,NSW,Marsfield,-33.781,151.102
71,NSW,Lane Cove East,-33.8127,151.171
72,NSW,Putney,-33.8249,151.111
73,NSW,Ryde East,-33.8064,151.127
74,NSW,Ryde North,-33.7939,151.12
75,NSW,Truscott,-33.7947,151.13
76,NSW,Asquith,-33.6855,151.112
77,NSW,Berowra,-33.6181,151.14700000000002
78,NSW,Berowra Heights,-33.6094,151.143
79,NSW,Brooklyn,-33.5481,151.215
80,NSW,Cowan,-33.5885,151.16899999999998
81,NSW,Hornsby,-33.7,151.097
82,NSW,Hornsby Heights,-33.6702,151.097
83,NSW,Waitara North,-33.7042,151.111
84,NSW,Hornsby North,-33.6833,151.09799999999998
85,NSW,Hornsby Central,-33.7064,151.102
86,NSW,Hornsby West,-33.7045,151.097
87,NSW,Kissing Point,-33.7565,151.113
88,NSW,Turramurra Valley,-33.6916,151.15200000000002
89,NSW,Mount Colah,-33.6726,151.11700000000002
90,NSW,Mount Kuring-Gai,-33.6575,151.136
91,NSW,Normanhurst,-33.7237,151.09799999999998
92,NSW,Hornsby South,-33.7128,151.096
93,NSW,Normanhurst West,-33.7218,151.088
94,NSW,Pennant Hills,-33.7329,151.061
95,NSW,Pymble North,-33.7318,151.141
96,NSW,Turramurra Central,-33.7292,151.128
97,NSW,Turramurra North,-33.7147,151.14700000000002
98,NSW,Turramurra South,-33.7446,151.113
99,NSW,Wahroonga,-33.7162,151.118
100,NSW,Wahroonga East,-33.7155,151.128
101,NSW,Waitara,-33.7081,151.111
102,NSW,Warrawee,-33.73,151.123
103,NSW,Westleigh,-33.7242,151.072
104,NSW,Bankstown East,-33.9133,151.035
105,NSW,Bankstown Central,-33.9193,151.037
106,NSW,Bankstown North,-33.9055,151.039
107,NSW,Bankstown South,-33.9309,151.039
108,NSW,Bass Hill,-33.9047,151.006
109,NSW,Chester Hill Central,-33.8873,151.001
110,NSW,Bass Hill West,-33.8996,150.99
111,NSW,Cabramatta East,-33.8954,150.942
112,NSW,Chullora,-33.8948,151.056
113,NSW,Condell Park,-33.9255,151.013
114,NSW,Condell Park South,-33.9311,151.02200000000002
115,NSW,Georges Hall,-33.9121,150.993
116,NSW,Greenacre Central,-33.9029,151.053
117,NSW,Greenacre,-33.9113,151.058
118,NSW,Lansvale East,-33.8982,150.964
119,NSW,Milperra,-33.9418,150.98
120,NSW,Punchbowl Central,-33.9235,151.05200000000002
121,NSW,Punchbowl,-33.9307,151.056
122,NSW,Bankstown West,-33.9164,151.02
123,NSW,Wiley Park East,-33.9235,151.07
124,NSW,Wiley Park West,-33.924,151.06799999999998
125,NSW,Yagoona,-33.9056,151.025
126,NSW,Yagoona West,-33.9064,151.02100000000002
127,NSW,Belrose,-33.7389,151.218
128,NSW,St Ives Park,-33.7244,151.178
129,NSW,Forest,-33.7499,151.231
130,NSW,Forestville,-33.7615,151.21200000000002
131,NSW,Forestville East,-33.7655,151.216
132,NSW,Frenchs Forest,-33.751999999999995,151.224
133,NSW,Gordon,-33.7568,151.153
134,NSW,Gordon East,-33.7459,151.157
135,NSW,Gordon West,-33.7601,151.139
136,NSW,Killara,-33.7662,151.165
137,NSW,Killara East,-33.7561,151.174
138,NSW,Killarney Heights,-33.7757,151.216
139,NSW,Lindfield,-33.7745,151.173
140,NSW,Lindfield East,-33.7681,151.184
141,NSW,Lindfield North,-33.7811,151.17
142,NSW,Lindfield West,-33.7747,151.14600000000002
143,NSW,Mimosa,-33.7439,151.204
144,NSW,Pymble,-33.7395,151.137
145,NSW,Pymble West,-33.7639,151.124
146,NSW,Roseville,-33.7842,151.179
147,NSW,Roseville East,-33.782,151.188
148,NSW,St Ives,-33.7291,151.16
149,NSW,St Ives Chase,-33.7085,151.16299999999998
150,NSW,St Ives North,-33.7187,151.164
151,NSW,St Ives South,-33.7403,151.167
152,NSW,Barry,-33.6465,149.27200000000002
153,NSW,Bathurst,-33.4217,149.571
154,NSW,Bathurst Central,-33.42,149.577
155,NSW,Bathurst High,-33.4129,149.569
156,NSW,Bathurst Hospital,-33.4168,149.58100000000002
157,NSW,Bathurst South,-33.4337,149.569
158,NSW,Bathurst West,-33.4118,149.559
159,NSW,Blayney,-33.529,149.252
160,NSW,Bletchington,-33.2693,149.10299999999998
161,NSW,Orange Hospital Bloomfield,-33.317,149.094
162,NSW,Bowen,-33.2802,149.118
163,NSW,Bowenfels South,-33.5152,150.12
164,NSW,Calare School,-33.2872,149.08
165,NSW,Canobolas,-33.3062,149.047
166,NSW,Capertee,-33.1466,149.987
167,NSW,Carcoar,-33.6119,149.142
168,NSW,Cooerwull,-33.4839,150.142
169,NSW,Cullen Bullen,-33.2995,150.033
170,NSW,Dunedoo,-32.0181,149.392
171,NSW,Eglinton,-33.3778,149.54
172,NSW,Glen Alice,-33.0427,150.214
173,NSW,Glenroi,-33.2972,149.112
174,NSW,Gulgong,-32.3616,149.534
175,NSW,Hampton,-33.6488,150.049
176,NSW,Hargraves,-32.7854,149.46200000000002
177,NSW,Hermitage,-33.4799,150.149
178,NSW,Hill End,-33.0349,149.416
179,NSW,Ilford,-32.9668,149.856
180,NSW,Kandos,-32.856,149.975
181,NSW,Kelso,-33.4176,149.60399999999998
182,NSW,Yetholme,-33.4478,149.817
183,NSW,Lithgow,-33.4818,150.16
184,NSW,Lucknow,-33.3445,149.161
185,NSW,Lue,-32.6567,149.846
186,NSW,Lyndhurst,-33.6738,149.045
187,NSW,Mandurama,-33.6518,149.07
188,NSW,Meadow Flat,-33.4344,149.92
189,NSW,Millthorpe,-33.4455,149.186
190,NSW,Mudgee,-32.5914,149.592
191,NSW,Mudgee Central,-32.5984,149.583
192,NSW,Mudgee South,-32.6066,149.584
193,NSW,Neville,-33.709,149.217
194,NSW,Oakey Park,-33.466,150.183
195,NSW,Orange,-33.2855,149.097
196,NSW,Orange East,-33.2848,149.108
197,NSW,Orange North,-33.2798,149.095
198,NSW,Orange South,-33.2931,149.097
199,NSW,Orange West,-33.2809,149.086
200,NSW,Peel,-33.4066,149.56799999999998
201,NSW,Perthville,-33.4913,149.549
202,NSW,Portland,-33.3552,149.97899999999998
203,NSW,Raglan,-33.4283,149.648
204,NSW,Rylstone,-32.7958,149.97299999999998
205,NSW,Spring Hill,-33.3997,149.151
206,NSW,Spring Terrace,-33.394,149.097
207,NSW,Tweed Mills,-33.4849,150.135
208,NSW,Ulan,-32.2822,149.743
209,NSW,Wallerawang,-33.4196,150.071
210,NSW,Wattle Flat,-33.1422,149.692
211,NSW,Windeyer,-32.6611,149.487
212,NSW,Abermain,-32.8104,151.428
213,NSW,Arcadia Vale,-33.0608,151.58
214,NSW,Argenton,-32.9357,151.631
215,NSW,Barnsley,-32.9324,151.594
216,NSW,Blackalls,-32.9988,151.578
217,NSW,Booragul,-32.9737,151.611
218,NSW,Cardiff,-32.9465,151.658
219,NSW,Cardiff Heights,-32.9377,151.683
220,NSW,Cardiff North,-32.9372,151.665
221,NSW,Cardiff South,-32.9526,151.666
222,NSW,Coal Point,-33.0416,151.61
223,NSW,Cooranbong,-33.0789,151.441
224,NSW,Dora Creek,-33.0845,151.502
225,NSW,Edgeworth,-32.9219,151.622
226,NSW,Eleebana,-32.9902,151.643
227,NSW,Fassifern,-32.9832,151.583
228,NSW,Fennell Bay,-32.9923,151.602
229,NSW,Garden Suburb,-32.9472,151.683
230,NSW,Glendale,-32.9272,151.654
231,NSW,Edgeworth Heights,-32.9254,151.61
232,NSW,Kilaben Bay,-33.0264,151.58100000000002
233,NSW,Kurri Kurri,-32.8205,151.47799999999998
234,NSW,Minmi,-32.8838,151.614
235,NSW,Morisset,-33.1029,151.489
236,NSW,Mulbring,-32.9014,151.481
237,NSW,Pelaw Main,-32.8319,151.485
238,NSW,Rathmines,-33.0402,151.594
239,NSW,Speers Point,-32.9602,151.623
240,NSW,Teralba,-32.9627,151.606
241,NSW,Toronto,-33.0086,151.595
242,NSW,Biraban,-33.0081,151.575
243,NSW,Valentine,-33.0084,151.643
244,NSW,Wangi Wangi,-33.0724,151.583
245,NSW,Warners Bay,-32.9682,151.65200000000002
246,NSW,Warners Bay Central,-32.9798,151.648
247,NSW,Weston,-32.8133,151.459
248,NSW,West Wallsend,-32.9112,151.582
249,NSW,St Clair West,-33.7938,150.773
250,NSW,Colyton,-33.7838,150.791
251,NSW,Bidwill,-33.7339,150.826
252,NSW,Blackett,-33.7395,150.816
253,NSW,Blacktown South,-33.7803,150.906
254,NSW,St Clair South,-33.8059,150.783
255,NSW,St Clair East,-33.7963,150.8
256,NSW,Dharruk,-33.7475,150.817
257,NSW,Doonside,-33.765,150.872
258,NSW,Hebersham,-33.7477,150.825
259,NSW,Kemps Creek,-33.8839,150.79
260,NSW,Lethbridge Park,-33.7382,150.80100000000002
261,NSW,Minchinbury,-33.7875,150.83100000000002
262,NSW,Mount Druitt,-33.7673,150.826
263,NSW,Mount Druitt North,-33.7639,150.812
264,NSW,Mount Druitt South,-33.7749,150.814
265,NSW,Plumpton,-33.7491,150.838
266,NSW,Rooty Hill North,-33.769,150.841
267,NSW,Rooty Hill South,-33.7758,150.847
268,NSW,St Clair,-33.7965,150.786
269,NSW,St Marys North,-33.7566,150.783
270,NSW,Shalvey,-33.7278,150.80700000000002
271,NSW,Tregear,-33.7454,150.795
272,NSW,Arndell Park North,-33.7871,150.891
273,NSW,Whalan,-33.7526,150.81
274,NSW,Willmot,-33.7256,150.79399999999998
275,NSW,Burraneer Bay,-34.0507,151.13299999999998
276,NSW,Caringbah South,-34.0537,151.123
277,NSW,Caringbah Central,-34.0462,151.123
278,NSW,Caringbah North,-34.0334,151.121
279,NSW,Caringbah West,-34.0459,151.113
280,NSW,Cronulla,-34.0538,151.148
281,NSW,Cronulla Central,-34.0573,151.153
282,NSW,Cronulla North,-34.0485,151.15200000000002
283,NSW,Cronulla South,-34.0653,151.154
284,NSW,Grays Point,-34.0587,151.072
285,NSW,Gymea North,-34.0265,151.088
286,NSW,Gymea Bay,-34.0468,151.083
287,NSW,Kareela,-34.0131,151.083
288,NSW,Kirrawee South,-34.0436,151.075
289,NSW,Kurnell,-34.0108,151.204
290,NSW,Lilli Pilli,-34.0636,151.119
291,NSW,Miranda,-34.0332,151.09799999999998
292,NSW,Miranda Central,-34.0364,151.101
293,NSW,Miranda North,-34.0314,151.113
294,NSW,Sylvania,-34.0084,151.112
295,NSW,Sylvania Heights,-34.0124,151.09799999999998
296,NSW,Taren Point,-34.0189,151.123
297,NSW,Sylvania South,-34.0196,151.105
298,NSW,Greenhills Beach,-34.0389,151.158
299,NSW,Woolooware,-34.0456,151.14600000000002
300,NSW,Yowie Bay,-34.0479,151.10299999999998
301,NSW,Beechwood,-31.4366,152.681
302,NSW,Bellbrook,-30.8188,152.509
303,NSW,Bellingen,-30.4516,152.895
304,NSW,Boambee,-30.3346,153.077
305,NSW,Bonville,-30.3847,153.05100000000002
306,NSW,Bowraville,-30.6436,152.85399999999998
