longitude,latitude,SSC_CODE16,SSC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,xcoord,ycoord
149.802885,-32.87909743,10001,Aarons Pass,1,New South Wales,82.7639,149.80289,-32.8791
150.8612028,-33.870091,10002,Abbotsbury,1,New South Wales,4.9788,150.8612,-33.87009
151.1292403,-33.8506087,10003,Abbotsford (NSW),1,New South Wales,1.018,151.12924,-33.85061
149.5564307,-33.38997263,10004,Abercrombie,1,New South Wales,2.9775,149.55643,-33.38997
149.3476664,-33.91034447,10005,Abercrombie River,1,New South Wales,127.1701,149.34767,-33.91034
151.3816781,-32.84112173,10006,Aberdare,1,New South Wales,3.2961,151.38168,-32.84112
150.8916117,-32.17382894,10007,Aberdeen (NSW),1,New South Wales,41.6327,150.89161,-32.17383
151.9786086,-30.23631938,10008,Aberfoyle,1,New South Wales,340.4792,151.97861,-30.23632
151.5339348,-32.6948698,10009,Aberglasslyn,1,New South Wales,6.2155,151.53393,-32.69487
151.4372111,-32.81970594,10010,Abermain,1,New South Wales,15.3822,151.43721,-32.81971
151.4021951,-32.88753496,10011,Abernethy,1,New South Wales,8.4025,151.4022,-32.88753
151.236371,-30.31807425,10012,Abington (NSW),1,New South Wales,174.3142,151.23637,-30.31807
152.3190607,-28.37627271,10013,Acacia Creek,1,New South Wales,6.2123,152.31906,-28.37627
150.9137106,-33.73355415,10014,Acacia Gardens,1,New South Wales,1.0013,150.91371,-33.73355
148.7863132,-36.01195983,10015,Adaminaby,1,New South Wales,356.4961,148.78631,-36.01196
151.7254299,-32.93824598,10016,Adamstown,1,New South Wales,3.0711,151.72543,-32.93825
151.7106086,-32.94894401,10017,Adamstown Heights,1,New South Wales,2.394,151.71061,-32.94894
148.0697591,-35.30664707,10018,Adelong,1,New South Wales,20.2697,148.06976,-35.30665
148.4403534,-35.04150099,10019,Adjungbilly,1,New South Wales,438.1006,148.44035,-35.0415
152.8237873,-28.57311043,10020,Afterlee,1,New South Wales,34.7839,152.82379,-28.57311
